%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=214675, 2023/10/9 16:50:38.76)
1 10  4.160917018071657481e+00 0 0 1.846424e+00 2.440453e+02 5.608833e+01 1.484863e+01 
2 19  5.285393155475828664e+00 0 0 9.279192e-01 2.161901e+02 5.824964e+01 1.072586e+01 
3 28  7.865120400553742286e+00 0 0 1.626468e+00 2.190816e+02 2.680831e+01 9.150298e+00 
4 37  6.894080942228627329e+00 0 0 3.241997e+00 1.192590e+02 5.303110e+01 9.696675e+00 
5 46  4.982186356164675978e+00 0 0 2.281660e+00 2.388152e+02 4.423572e+01 1.428498e+01 
6 55  6.180878129444690394e+00 0 0 1.263534e+00 1.564789e+02 7.195089e+01 1.247011e+01 
7 64  3.867264658828542423e+00 0 0 2.295123e+00 1.991336e+02 8.110100e+01 1.443590e+01 
8 73  4.463047138053010343e+00 0 0 1.331195e+00 2.013371e+02 7.526693e+01 1.024041e+01 
9 82  4.222130683026248832e+00 0 0 1.267783e+00 2.192255e+02 6.830528e+01 9.964878e+00 
10 91  4.325490412735822687e+00 0 0 1.259979e+00 2.499406e+02 6.180158e+01 1.015199e+01 
11 100  3.346178254750112657e+00 0 0 1.649571e+00 2.036941e+02 9.615677e+01 9.007533e+00 
12 109  2.891153891338170467e+00 0 0 2.551033e+00 2.158826e+02 1.030049e+02 7.770537e+00 
13 118  3.229774510158996748e+00 0 0 2.446973e+00 2.434847e+02 7.413468e+01 7.973291e+00 
14 127  2.765704339771196452e+00 0 0 2.918915e+00 2.223820e+02 9.902862e+01 8.314586e+00 
15 136  2.904307400586166654e+00 0 0 3.567839e+00 2.388994e+02 7.975054e+01 7.533445e+00 
16 145  2.751217279980854080e+00 0 0 3.972947e+00 2.166704e+02 1.124545e+02 7.221590e+00 
17 154  2.499031962420906972e+00 0 0 3.769355e+00 2.043946e+02 1.078437e+02 8.706507e+00 
18 163  2.499439380138696265e+00 0 0 5.380973e+00 2.262241e+02 9.012219e+01 9.830123e+00 
19 172  2.397005228367411700e+00 0 0 4.030770e+00 2.208204e+02 8.076457e+01 6.423236e+00 
20 181  2.523542520789053611e+00 0 0 3.868679e+00 2.039738e+02 9.078404e+01 6.903090e+00 
21 190  2.548984763438502110e+00 0 0 3.984051e+00 2.210354e+02 6.684568e+01 4.538437e+00 
22 199  2.484402337869676458e+00 0 0 5.024070e+00 2.161408e+02 9.147405e+01 6.892683e+00 
23 208  2.386422360329201187e+00 0 0 4.227378e+00 2.126007e+02 7.857243e+01 6.530956e+00 
24 217  2.462064349034297717e+00 0 0 4.293347e+00 2.209134e+02 8.238049e+01 6.064081e+00 
25 226  2.381107033684619623e+00 0 0 4.115950e+00 2.217400e+02 7.573321e+01 7.270594e+00 
26 235  2.378069314501573217e+00 0 0 4.330277e+00 2.152732e+02 8.090435e+01 6.799776e+00 
27 244  2.374662297785897991e+00 0 0 4.274481e+00 2.141443e+02 7.862651e+01 7.140499e+00 
28 253  2.381453562140822378e+00 0 0 4.120530e+00 2.136298e+02 8.185291e+01 6.607876e+00 
29 262  2.373552944680600962e+00 0 0 4.302498e+00 2.143110e+02 8.119808e+01 7.055298e+00 
30 271  2.369045907834046005e+00 0 0 4.433938e+00 2.127591e+02 8.375239e+01 7.260334e+00 
31 280  2.362623542973549817e+00 0 0 4.204531e+00 2.170576e+02 8.425679e+01 7.644441e+00 
32 289  2.355327343101083493e+00 0 0 4.219360e+00 2.137987e+02 9.019534e+01 7.811252e+00 
33 298  2.348003937333368540e+00 0 0 4.046175e+00 2.132037e+02 8.345938e+01 8.821901e+00 
34 307  2.360180597982878492e+00 0 0 4.030662e+00 2.108275e+02 9.470177e+01 9.536849e+00 
35 316  2.336548932385186017e+00 0 0 4.085621e+00 2.190616e+02 8.625663e+01 9.250982e+00 
36 325  2.331367665601196570e+00 0 0 3.964221e+00 2.165690e+02 8.755472e+01 1.014141e+01 
37 334  2.330804008092040469e+00 0 0 4.264864e+00 2.153775e+02 8.581207e+01 9.415450e+00 
38 343  2.330350570987517411e+00 0 0 4.204569e+00 2.174075e+02 9.132285e+01 9.615281e+00 
39 352  2.361669060287988398e+00 0 0 3.890720e+00 2.131204e+02 8.416516e+01 8.940977e+00 
40 361  2.322831602878733026e+00 0 0 3.963378e+00 2.162685e+02 9.076644e+01 1.013386e+01 
41 370  2.331898671240053567e+00 0 0 3.969828e+00 2.136623e+02 9.065402e+01 9.804773e+00 
42 379  2.328331161628703683e+00 0 0 4.012090e+00 2.159372e+02 8.891877e+01 1.021274e+01 
43 388  2.319321412669360427e+00 0 0 4.106704e+00 2.135902e+02 9.214179e+01 9.908805e+00 
44 397  2.318377941305454826e+00 0 0 4.203232e+00 2.142966e+02 9.379482e+01 9.934110e+00 
45 406  2.318229235574527092e+00 0 0 4.302235e+00 2.118554e+02 9.465428e+01 1.014663e+01 
46 415  2.322499465745666125e+00 0 0 4.347332e+00 2.174827e+02 9.158157e+01 1.017447e+01 
47 424  2.320994962924123328e+00 0 0 4.394860e+00 2.158562e+02 9.236413e+01 1.023439e+01 
48 433  2.317307812584279425e+00 0 0 4.270828e+00 2.144216e+02 9.536447e+01 1.029146e+01 
49 442  2.317420851059280640e+00 0 0 4.454297e+00 2.138188e+02 9.469343e+01 9.938505e+00 
50 451  2.319531020522481057e+00 0 0 4.379968e+00 2.129808e+02 9.697431e+01 1.028777e+01 
