%  columns="iteration, evaluation, void, void, void, xmean" (startseed=214675, 2023/10/9 16:50:38.76)
73 658 0 0 0 4.463301e+00 2.145733e+02 9.492811e+01 1.008768e+01 
74 667 0 0 0 4.489301e+00 2.148448e+02 9.467861e+01 1.012864e+01 
75 676 0 0 0 4.524313e+00 2.143833e+02 9.507470e+01 1.007135e+01 
76 685 0 0 0 4.527322e+00 2.147214e+02 9.438066e+01 1.010778e+01 
77 694 0 0 0 4.539205e+00 2.142911e+02 9.453504e+01 1.009281e+01 
78 703 0 0 0 4.558293e+00 2.150900e+02 9.388893e+01 1.011187e+01 
79 712 0 0 0 4.541286e+00 2.147313e+02 9.404615e+01 1.012170e+01 
80 721 0 0 0 4.537999e+00 2.148887e+02 9.403791e+01 1.010713e+01 
81 730 0 0 0 4.548544e+00 2.150237e+02 9.426608e+01 1.012113e+01 
82 739 0 0 0 4.547250e+00 2.149644e+02 9.436801e+01 1.010915e+01 
83 748 0 0 0 4.562228e+00 2.151182e+02 9.432392e+01 1.011448e+01 
84 757 0 0 0 4.572870e+00 2.154295e+02 9.377681e+01 1.013573e+01 
85 766 0 0 0 4.581244e+00 2.152933e+02 9.405878e+01 1.011989e+01 
86 775 0 0 0 4.571363e+00 2.151773e+02 9.421698e+01 1.012456e+01 
87 784 0 0 0 4.577638e+00 2.151953e+02 9.428412e+01 1.011888e+01 
88 793 0 0 0 4.562148e+00 2.150812e+02 9.437282e+01 1.010651e+01 
89 802 0 0 0 4.577031e+00 2.151203e+02 9.435906e+01 1.009813e+01 
90 811 0 0 0 4.576524e+00 2.151574e+02 9.426242e+01 1.010156e+01 
91 820 0 0 0 4.579638e+00 2.153282e+02 9.414061e+01 1.011947e+01 
92 829 0 0 0 4.577558e+00 2.151676e+02 9.432232e+01 1.010246e+01 
93 838 0 0 0 4.584144e+00 2.151977e+02 9.425612e+01 1.010616e+01 
94 847 0 0 0 4.583618e+00 2.151050e+02 9.435352e+01 1.009933e+01 
95 856 0 0 0 4.578318e+00 2.151218e+02 9.438913e+01 1.010367e+01 
96 865 0 0 0 4.583430e+00 2.150713e+02 9.437809e+01 1.010437e+01 
97 874 0 0 0 4.581183e+00 2.149785e+02 9.445266e+01 1.009965e+01 
98 883 0 0 0 4.580906e+00 2.150523e+02 9.437598e+01 1.010094e+01 
99 892 0 0 0 4.581560e+00 2.150435e+02 9.439247e+01 1.009822e+01 
100 901 0 0 0 4.584405e+00 2.150895e+02 9.437685e+01 1.010064e+01 
101 910 0 0 0 4.584203e+00 2.151004e+02 9.436235e+01 1.010191e+01 
102 919 0 0 0 4.583244e+00 2.151321e+02 9.434347e+01 1.010211e+01 
103 928 0 0 0 4.584974e+00 2.151967e+02 9.428550e+01 1.010633e+01 
104 937 0 0 0 4.585640e+00 2.151747e+02 9.430335e+01 1.010397e+01 
105 946 0 0 0 4.584269e+00 2.151670e+02 9.431994e+01 1.010362e+01 
106 955 0 0 0 4.586815e+00 2.151625e+02 9.432346e+01 1.010298e+01 
107 964 0 0 0 4.586196e+00 2.151468e+02 9.433271e+01 1.010260e+01 
108 973 0 0 0 4.586583e+00 2.151473e+02 9.434417e+01 1.010268e+01 
109 982 0 0 0 4.586999e+00 2.151688e+02 9.432499e+01 1.010296e+01 
110 991 0 0 0 4.586925e+00 2.151820e+02 9.431779e+01 1.010335e+01 
111 1000 0 0 0 4.587545e+00 2.151962e+02 9.431928e+01 1.010402e+01 
112 1009 0 0 0 4.586770e+00 2.151618e+02 9.434860e+01 1.010266e+01 
113 1018 0 0 0 4.586249e+00 2.151320e+02 9.437127e+01 1.010106e+01 
114 1027 0 0 0 4.585457e+00 2.151221e+02 9.438425e+01 1.009997e+01 
115 1036 0 0 0 4.586573e+00 2.151496e+02 9.436083e+01 1.010128e+01 
116 1045 0 0 0 4.586145e+00 2.151286e+02 9.438411e+01 1.010036e+01 
117 1054 0 0 0 4.586214e+00 2.151419e+02 9.437560e+01 1.010119e+01 
118 1063 0 0 0 4.586370e+00 2.151508e+02 9.436998e+01 1.010126e+01 
119 1072 0 0 0 4.586605e+00 2.151493e+02 9.436795e+01 1.010129e+01 
120 1081 0 0 0 4.586816e+00 2.151534e+02 9.437124e+01 1.010150e+01 
121 1090 0 0 0 4.586591e+00 2.151350e+02 9.439005e+01 1.010050e+01 
122 1099 0 0 0 4.586789e+00 2.151401e+02 9.438337e+01 1.010069e+01 
123 1108 0 0 0 4.586545e+00 2.151292e+02 9.439542e+01 1.010006e+01 
124 1117 0 0 0 4.586385e+00 2.151155e+02 9.441411e+01 1.009942e+01 
125 1126 0 0 0 4.586162e+00 2.151058e+02 9.443175e+01 1.009867e+01 
126 1135 0 0 0 4.585994e+00 2.150925e+02 9.444928e+01 1.009830e+01 
127 1144 0 0 0 4.586083e+00 2.150938e+02 9.445005e+01 1.009834e+01 
128 1153 0 0 0 4.586165e+00 2.150974e+02 9.443441e+01 1.009806e+01 
129 1162 0 0 0 4.585952e+00 2.150820e+02 9.445718e+01 1.009747e+01 
130 1171 0 0 0 4.585678e+00 2.150663e+02 9.447051e+01 1.009663e+01 
131 1180 0 0 0 4.585673e+00 2.150602e+02 9.447297e+01 1.009635e+01 
132 1189 0 0 0 4.585127e+00 2.150335e+02 9.450714e+01 1.009478e+01 
133 1198 0 0 0 4.584929e+00 2.150238e+02 9.452085e+01 1.009385e+01 
134 1207 0 0 0 4.584659e+00 2.150012e+02 9.454609e+01 1.009272e+01 
135 1216 0 0 0 4.584800e+00 2.150048e+02 9.454367e+01 1.009273e+01 
136 1225 0 0 0 4.584272e+00 2.149806e+02 9.457344e+01 1.009143e+01 
137 1234 0 0 0 4.584109e+00 2.149794e+02 9.458285e+01 1.009090e+01 
138 1243 0 0 0 4.584152e+00 2.149655e+02 9.459674e+01 1.009029e+01 
139 1252 0 0 0 4.584014e+00 2.149554e+02 9.459747e+01 1.008983e+01 
140 1261 0 0 0 4.583991e+00 2.149500e+02 9.460933e+01 1.008953e+01 
141 1270 0 0 0 4.583858e+00 2.149410e+02 9.462077e+01 1.008872e+01 
142 1279 0 0 0 4.583749e+00 2.149313e+02 9.463455e+01 1.008814e+01 
143 1288 0 0 0 4.583192e+00 2.148972e+02 9.467709e+01 1.008637e+01 
144 1297 0 0 0 4.582901e+00 2.148810e+02 9.469390e+01 1.008531e+01 
145 1306 0 0 0 4.582609e+00 2.148562e+02 9.471886e+01 1.008390e+01 
146 1315 0 0 0 4.581439e+00 2.147910e+02 9.479847e+01 1.007983e+01 
147 1324 0 0 0 4.581977e+00 2.148168e+02 9.477031e+01 1.008117e+01 
148 1333 0 0 0 4.581878e+00 2.148057e+02 9.477796e+01 1.008066e+01 
149 1342 0 0 0 4.580736e+00 2.147435e+02 9.484795e+01 1.007711e+01 
150 1351 0 0 0 4.580786e+00 2.147412e+02 9.485524e+01 1.007703e+01 
151 1360 0 0 0 4.580521e+00 2.147287e+02 9.486509e+01 1.007640e+01 
152 1369 0 0 0 4.580589e+00 2.147340e+02 9.486533e+01 1.007646e+01 
153 1378 0 0 0 4.580783e+00 2.147366e+02 9.486236e+01 1.007663e+01 
154 1387 0 0 0 4.580725e+00 2.147398e+02 9.486280e+01 1.007671e+01 
155 1396 0 0 0 4.580797e+00 2.147451e+02 9.485534e+01 1.007696e+01 
156 1405 0 0 0 4.581040e+00 2.147544e+02 9.484367e+01 1.007756e+01 
157 1414 0 0 0 4.580855e+00 2.147416e+02 9.486046e+01 1.007690e+01 
158 1423 0 0 0 4.580798e+00 2.147374e+02 9.486260e+01 1.007660e+01 
159 1432 0 0 0 4.580806e+00 2.147357e+02 9.486345e+01 1.007650e+01 
160 1441 0 0 0 4.580648e+00 2.147298e+02 9.487378e+01 1.007604e+01 
161 1450 0 0 0 4.580622e+00 2.147277e+02 9.487678e+01 1.007590e+01 
162 1459 0 0 0 4.580594e+00 2.147262e+02 9.487758e+01 1.007590e+01 
163 1468 0 0 0 4.580621e+00 2.147287e+02 9.487483e+01 1.007601e+01 
164 1477 0 0 0 4.580703e+00 2.147345e+02 9.486796e+01 1.007634e+01 
165 1486 0 0 0 4.580825e+00 2.147403e+02 9.486099e+01 1.007665e+01 
166 1495 0 0 0 4.580801e+00 2.147391e+02 9.486347e+01 1.007659e+01 
167 1504 0 0 0 4.580821e+00 2.147404e+02 9.486271e+01 1.007665e+01 
168 1513 0 0 0 4.580771e+00 2.147380e+02 9.486566e+01 1.007650e+01 
169 1522 0 0 0 4.580778e+00 2.147379e+02 9.486553e+01 1.007649e+01 
170 1531 0 0 0 4.580729e+00 2.147356e+02 9.486841e+01 1.007632e+01 
171 1540 0 0 0 4.580738e+00 2.147360e+02 9.486788e+01 1.007634e+01 
172 1549 0 0 0 4.580720e+00 2.147346e+02 9.486930e+01 1.007627e+01 
173 1558 0 0 0 4.580748e+00 2.147357e+02 9.486763e+01 1.007633e+01 
174 1567 0 0 0 4.580791e+00 2.147382e+02 9.486489e+01 1.007647e+01 
175 1576 0 0 0 4.580796e+00 2.147382e+02 9.486483e+01 1.007647e+01 
176 1585 0 0 0 4.580797e+00 2.147379e+02 9.486514e+01 1.007646e+01 
177 1594 0 0 0 4.580791e+00 2.147373e+02 9.486595e+01 1.007642e+01 
178 1603 0 0 0 4.580781e+00 2.147361e+02 9.486738e+01 1.007636e+01 
179 1612 0 0 0 4.580801e+00 2.147366e+02 9.486675e+01 1.007638e+01 
180 1621 0 0 0 4.580796e+00 2.147356e+02 9.486823e+01 1.007632e+01 
181 1630 0 0 0 4.580861e+00 2.147386e+02 9.486434e+01 1.007650e+01 
182 1639 0 0 0 4.580817e+00 2.147343e+02 9.486976e+01 1.007625e+01 
183 1648 0 0 0 4.580833e+00 2.147323e+02 9.487212e+01 1.007614e+01 
184 1657 0 0 0 4.580842e+00 2.147299e+02 9.487462e+01 1.007598e+01 
185 1666 0 0 0 4.580879e+00 2.147313e+02 9.487328e+01 1.007608e+01 
186 1675 0 0 0 4.580933e+00 2.147355e+02 9.486726e+01 1.007638e+01 
187 1684 0 0 0 4.580875e+00 2.147358e+02 9.486686e+01 1.007639e+01 
188 1693 0 0 0 4.580968e+00 2.147393e+02 9.486305e+01 1.007659e+01 
189 1702 0 0 0 4.580944e+00 2.147349e+02 9.486809e+01 1.007632e+01 
190 1711 0 0 0 4.580948e+00 2.147342e+02 9.486921e+01 1.007629e+01 
191 1720 0 0 0 4.580919e+00 2.147326e+02 9.487120e+01 1.007617e+01 
192 1729 0 0 0 4.580900e+00 2.147312e+02 9.487265e+01 1.007609e+01 
193 1738 0 0 0 4.580937e+00 2.147347e+02 9.486828e+01 1.007629e+01 
194 1747 0 0 0 4.580924e+00 2.147343e+02 9.486832e+01 1.007628e+01 
195 1756 0 0 0 4.580963e+00 2.147354e+02 9.486728e+01 1.007634e+01 
196 1765 0 0 0 4.580944e+00 2.147347e+02 9.486817e+01 1.007629e+01 
197 1774 0 0 0 4.580968e+00 2.147357e+02 9.486693e+01 1.007635e+01 
198 1783 0 0 0 4.580966e+00 2.147356e+02 9.486736e+01 1.007633e+01 
199 1792 0 0 0 4.580971e+00 2.147363e+02 9.486684e+01 1.007637e+01 
200 1801 0 0 0 4.580971e+00 2.147362e+02 9.486704e+01 1.007636e+01 
201 1810 0 0 0 4.580970e+00 2.147357e+02 9.486786e+01 1.007633e+01 
202 1819 0 0 0 4.580974e+00 2.147358e+02 9.486786e+01 1.007633e+01 
203 1828 0 0 0 4.580943e+00 2.147342e+02 9.486961e+01 1.007624e+01 
204 1837 0 0 0 4.580954e+00 2.147351e+02 9.486838e+01 1.007629e+01 
205 1846 0 0 0 4.580966e+00 2.147355e+02 9.486830e+01 1.007631e+01 
206 1855 0 0 0 4.580952e+00 2.147348e+02 9.486894e+01 1.007627e+01 
207 1864 0 0 0 4.580969e+00 2.147359e+02 9.486781e+01 1.007634e+01 
208 1873 0 0 0 4.580963e+00 2.147355e+02 9.486847e+01 1.007630e+01 
209 1882 0 0 0 4.580962e+00 2.147355e+02 9.486852e+01 1.007630e+01 
210 1891 0 0 0 4.580962e+00 2.147352e+02 9.486890e+01 1.007629e+01 
211 1900 0 0 0 4.580956e+00 2.147348e+02 9.486921e+01 1.007626e+01 
212 1909 0 0 0 4.580955e+00 2.147349e+02 9.486898e+01 1.007627e+01 
213 1918 0 0 0 4.580968e+00 2.147355e+02 9.486822e+01 1.007631e+01 
214 1927 0 0 0 4.580968e+00 2.147355e+02 9.486809e+01 1.007632e+01 
215 1936 0 0 0 4.580960e+00 2.147352e+02 9.486852e+01 1.007629e+01 
216 1945 0 0 0 4.580970e+00 2.147355e+02 9.486824e+01 1.007631e+01 
217 1954 0 0 0 4.580968e+00 2.147355e+02 9.486828e+01 1.007631e+01 
218 1963 0 0 0 4.580974e+00 2.147358e+02 9.486803e+01 1.007632e+01 
219 1972 0 0 0 4.580972e+00 2.147357e+02 9.486815e+01 1.007632e+01 
220 1981 0 0 0 4.580969e+00 2.147356e+02 9.486836e+01 1.007631e+01 
221 1990 0 0 0 4.580971e+00 2.147356e+02 9.486840e+01 1.007631e+01 
222 1999 0 0 0 4.580971e+00 2.147356e+02 9.486826e+01 1.007631e+01 
223 2008 0 0 0 4.580969e+00 2.147355e+02 9.486841e+01 1.007631e+01 
224 2017 0 0 0 4.580970e+00 2.147355e+02 9.486841e+01 1.007631e+01 
225 2026 0 0 0 4.580968e+00 2.147354e+02 9.486857e+01 1.007630e+01 
226 2035 0 0 0 4.580973e+00 2.147357e+02 9.486829e+01 1.007631e+01 
227 2044 0 0 0 4.580965e+00 2.147353e+02 9.486876e+01 1.007629e+01 
228 2053 0 0 0 4.580967e+00 2.147355e+02 9.486855e+01 1.007630e+01 
229 2062 0 0 0 4.580969e+00 2.147355e+02 9.486848e+01 1.007630e+01 
230 2071 0 0 0 4.580969e+00 2.147356e+02 9.486843e+01 1.007631e+01 
231 2080 0 0 0 4.580969e+00 2.147356e+02 9.486839e+01 1.007631e+01 
232 2089 0 0 0 4.580971e+00 2.147357e+02 9.486827e+01 1.007632e+01 
233 2098 0 0 0 4.580969e+00 2.147356e+02 9.486838e+01 1.007631e+01 
234 2107 0 0 0 4.580968e+00 2.147355e+02 9.486848e+01 1.007630e+01 
235 2116 0 0 0 4.580968e+00 2.147355e+02 9.486847e+01 1.007630e+01 
236 2125 0 0 0 4.580967e+00 2.147355e+02 9.486856e+01 1.007630e+01 
237 2134 0 0 0 4.580969e+00 2.147355e+02 9.486848e+01 1.007630e+01 
238 2143 0 0 0 4.580969e+00 2.147355e+02 9.486849e+01 1.007630e+01 
239 2152 0 0 0 4.580969e+00 2.147355e+02 9.486854e+01 1.007630e+01 
240 2161 0 0 0 4.580968e+00 2.147354e+02 9.486864e+01 1.007630e+01 
241 2170 0 0 0 4.580970e+00 2.147355e+02 9.486850e+01 1.007631e+01 
242 2179 0 0 0 4.580970e+00 2.147355e+02 9.486849e+01 1.007630e+01 
243 2188 0 0 0 4.580972e+00 2.147356e+02 9.486841e+01 1.007631e+01 
244 2197 0 0 0 4.580971e+00 2.147355e+02 9.486844e+01 1.007631e+01 
245 2206 0 0 0 4.580971e+00 2.147355e+02 9.486846e+01 1.007631e+01 
246 2215 0 0 0 4.580972e+00 2.147356e+02 9.486845e+01 1.007631e+01 
247 2224 0 0 0 4.580971e+00 2.147355e+02 9.486849e+01 1.007631e+01 
248 2233 0 0 0 4.580970e+00 2.147355e+02 9.486851e+01 1.007630e+01 
249 2242 0 0 0 4.580970e+00 2.147355e+02 9.486852e+01 1.007630e+01 
250 2251 0 0 0 4.580970e+00 2.147355e+02 9.486853e+01 1.007630e+01 
251 2260 0 0 0 4.580970e+00 2.147355e+02 9.486852e+01 1.007630e+01 
252 2269 0 0 0 4.580970e+00 2.147355e+02 9.486855e+01 1.007630e+01 
253 2278 0 0 0 4.580970e+00 2.147355e+02 9.486856e+01 1.007630e+01 
254 2287 0 0 0 4.580971e+00 2.147355e+02 9.486856e+01 1.007630e+01 
255 2296 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
256 2305 0 0 0 4.580971e+00 2.147355e+02 9.486854e+01 1.007630e+01 
257 2314 0 0 0 4.580970e+00 2.147355e+02 9.486855e+01 1.007630e+01 
258 2323 0 0 0 4.580970e+00 2.147355e+02 9.486856e+01 1.007630e+01 
259 2332 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
260 2341 0 0 0 4.580970e+00 2.147355e+02 9.486858e+01 1.007630e+01 
261 2350 0 0 0 4.580970e+00 2.147355e+02 9.486856e+01 1.007630e+01 
262 2359 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
263 2368 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
264 2377 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
265 2386 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
266 2395 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
267 2404 0 0 0 4.580970e+00 2.147355e+02 9.486856e+01 1.007630e+01 
268 2413 0 0 0 4.580970e+00 2.147355e+02 9.486856e+01 1.007630e+01 
269 2422 0 0 0 4.580970e+00 2.147355e+02 9.486855e+01 1.007630e+01 
270 2431 0 0 0 4.580970e+00 2.147355e+02 9.486856e+01 1.007630e+01 
271 2440 0 0 0 4.580970e+00 2.147355e+02 9.486856e+01 1.007630e+01 
272 2449 0 0 0 4.580970e+00 2.147355e+02 9.486855e+01 1.007630e+01 
273 2458 0 0 0 4.580970e+00 2.147355e+02 9.486855e+01 1.007630e+01 
274 2467 0 0 0 4.580971e+00 2.147355e+02 9.486856e+01 1.007630e+01 
275 2476 0 0 0 4.580971e+00 2.147355e+02 9.486855e+01 1.007630e+01 
276 2485 0 0 0 4.580971e+00 2.147355e+02 9.486855e+01 1.007630e+01 
277 2494 0 0 0 4.580971e+00 2.147355e+02 9.486854e+01 1.007630e+01 
278 2503 0 0 0 4.580971e+00 2.147355e+02 9.486854e+01 1.007630e+01 
279 2512 0 0 0 4.580971e+00 2.147355e+02 9.486855e+01 1.007630e+01 
280 2521 0 0 0 4.580971e+00 2.147355e+02 9.486856e+01 1.007630e+01 
281 2530 0 0 0 4.580971e+00 2.147355e+02 9.486856e+01 1.007630e+01 
282 2539 0 0 0 4.580970e+00 2.147355e+02 9.486856e+01 1.007630e+01 
283 2548 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
284 2557 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
285 2566 0 0 0 4.580970e+00 2.147355e+02 9.486856e+01 1.007630e+01 
286 2575 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
287 2584 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
288 2593 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
289 2602 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
290 2611 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
