%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=214675, 2023/10/9 16:50:38.76)
1 10 1.361026e+02 9.270591e+01  4.160917018071657481e+00  4.160917018071657481e+00  1.708274275201903691e+01  1.705582776223346002e+02
2 19 1.193551e+02 9.162802e+01  4.160917018071657481e+00  5.285393155475828664e+00  1.328804404914938786e+01  3.000698603842523227e+01
3 28 1.316006e+02 9.106323e+01  4.160917018071657481e+00  7.865120400553742286e+00  1.056731325683307077e+01  1.361299823621429255e+02
4 37 1.203409e+02 9.047973e+01  4.160917018071657481e+00  6.894080942228627329e+00  1.062782964043568157e+01  1.266673643591150267e+01
5 46 9.437781e+01 8.783535e+01  4.160917018071657481e+00  4.982186356164675978e+00  9.336705439703401055e+00  1.888996739499988209e+01
6 55 8.484768e+01 8.702488e+01  4.160917018071657481e+00  6.180878129444690394e+00  7.462606921801921978e+00  3.639081201321869230e+01
7 64 9.827784e+01 7.145655e+01  3.867264658828542423e+00  3.867264658828542423e+00  7.296871746772483291e+00  1.158536315166504771e+01
8 73 7.767158e+01 6.867204e+01  3.867264658828542423e+00  4.463047138053010343e+00  8.039229804898880616e+00  1.805048399069288934e+01
9 82 7.198960e+01 6.768114e+01  3.867264658828542423e+00  4.222130683026248832e+00  5.468919501474315936e+00  1.229506368391000670e+01
10 91 6.529304e+01 6.504059e+01  3.867264658828542423e+00  4.325490412735822687e+00  5.441904803916751021e+00  3.328098440502581212e+01
11 100 6.391795e+01 6.143866e+01  3.346178254750112657e+00  3.346178254750112657e+00  6.030934432322025529e+00  1.120648240908228743e+01
12 109 6.343670e+01 5.932406e+01  2.891153891338170467e+00  2.891153891338170467e+00  5.129635561388979248e+00  7.888100859694678668e+00
13 118 6.112920e+01 5.886087e+01  2.891153891338170467e+00  3.229774510158996748e+00  4.374048973064673440e+00  7.369863416375760146e+00
14 127 7.147375e+01 5.494612e+01  2.765704339771196452e+00  2.765704339771196452e+00  4.120261659775078300e+00  4.335289293339442906e+01
15 136 7.560975e+01 4.938679e+01  2.765704339771196452e+00  2.904307400586166654e+00  4.574717284998929046e+00  5.227646938484630468e+00
16 145 7.527749e+01 4.914810e+01  2.751217279980854080e+00  2.751217279980854080e+00  3.511329332079585530e+00  6.354674184976429885e+00
17 154 7.937772e+01 4.478820e+01  2.499031962420906972e+00  2.499031962420906972e+00  3.114110999838585414e+00  4.858547121427345239e+00
18 163 6.583742e+01 4.290767e+01  2.499031962420906972e+00  2.499439380138696265e+00  3.686577180430306910e+00  3.129264735794880892e+01
19 172 6.307663e+01 4.235330e+01  2.397005228367411700e+00  2.397005228367411700e+00  3.041500172390152024e+00  5.949774087384188448e+00
20 181 6.123175e+01 4.047392e+01  2.397005228367411700e+00  2.523542520789053611e+00  3.100402275017433595e+00  5.333997870536528296e+00
21 190 5.974946e+01 3.998300e+01  2.397005228367411700e+00  2.548984763438502110e+00  2.857093658138216696e+00  8.341989522706473537e+00
22 199 5.599515e+01 3.664206e+01  2.397005228367411700e+00  2.484402337869676458e+00  2.903972785366067733e+00  4.014686525715031706e+00
23 208 4.279320e+01 3.613872e+01  2.386422360329201187e+00  2.386422360329201187e+00  2.660681901299821739e+00  3.612396611822739967e+00
24 217 3.948052e+01 3.600560e+01  2.386422360329201187e+00  2.462064349034297717e+00  2.644873303676710030e+00  3.983855786736560489e+00
25 226 3.764487e+01 3.526316e+01  2.381107033684619623e+00  2.381107033684619623e+00  2.505001370289868134e+00  2.754235039166466947e+00
26 235 3.527177e+01 3.298697e+01  2.378069314501573217e+00  2.378069314501573217e+00  2.510529827318862317e+00  2.927014653999291838e+00
27 244 3.107576e+01 3.370187e+01  2.374662297785897991e+00  2.374662297785897991e+00  2.471459750936544797e+00  3.019661661432752719e+00
28 253 2.690534e+01 3.354799e+01  2.374662297785897991e+00  2.381453562140822378e+00  2.456631428912201098e+00  2.607631242856653930e+00
29 262 2.128502e+01 3.327905e+01  2.373552944680600962e+00  2.373552944680600962e+00  2.459018576874000939e+00  3.116487612138069352e+00
30 271 2.182020e+01 3.264852e+01  2.369045907834046005e+00  2.369045907834046005e+00  2.381965320651983298e+00  2.537244021324659204e+00
